nome;uf;cod_tse;cod_ibge
BOQUEIRÃO DO LEÃO;RS;84921;4302451
BOQUEIRÃO DO PIAUÍ;PI;12149;2201945
BOQUEIRÃO;PB;19518;2502508
BOQUIM;SE;31151;2800670
BOQUIRA;BA;33812;2904100
BORACÉIA;SP;62456;3507308
BORBA;AM;2178;1300805
BORBOREMA;PB;19550;2502706
BORBOREMA;SP;62472;3507407
BORDA DA MATA;MG;41653;3108305
BOREBI;SP;61026;3507456
BORRAZÓPOLIS;PR;74632;4103305
BORÁ;SP;62430;3507209
BOSSOROCA;RS;85499;4302501
BOTELHOS;MG;41670;3108404
BOTUCATU;SP;62499;3507506
BOTUMIRIM;MG;41696;3108503
BOTUPORÃ;BA;33839;2904209
BOTUVERÁ;SC;80519;4202701
BOZANO;RS;89087;4302584
BRAGANEY;PR;79839;4103354
BRAGANÇA PAULISTA;SP;62510;3507605
BRAGANÇA;PA;4332;1501709
BRAGA;RS;85510;4302600
BRANQUINHA;AL;27219;2701100
BRASIL NOVO;PA;4227;1501725
BRASILEIRA;PI;10006;2201960
BRASILÂNDIA DE MINAS;MG;40045;3108552
BRASILÂNDIA DO SUL;PR;74187;4103370
BRASILÂNDIA DO TOCANTINS;TO;73245;1703602
BRASILÂNDIA;MS;90450;5002308
BRASILÉIA;AC;1058;1200104
BRASNORTE;MT;90468;5101902
BRASÍLIA DE MINAS;MG;41718;3108602
BRASÍLIA;DF;97012;5300108
BRAZABRANTES;GO;92711;5203609
BRAZÓPOLIS;MG;41777;3108909
BRAÇO DO NORTE;SC;80535;4202800
BRAÇO DO TROMBUDO;SC;80420;4202859
BRAÚNAS;MG;41750;3108800
BRAÚNA;SP;62553;3507704
BREJETUBA;ES;56146;3201159
BREJINHO DE NAZARÉ;TO;92738;1703701
BREJINHO;PE;23493;2602506
BREJINHO;RN;16357;2401800
BREJO ALEGRE;SP;62081;3507753
BREJO DA MADRE DE DEUS;PE;23515;2602605
BREJO DE AREIA;MA;7307;2102150
BREJO DO CRUZ;PB;19577;2502805
BREJO DO PIAUÍ;PI;10642;2201988
BREJO DOS SANTOS;PB;19593;2502904
BREJO GRANDE DO ARAGUAIA;PA;5932;1501758
BREJO GRANDE;SE;31135;2800704
BREJO SANTO;CE;13498;2302503
BREJOLÂNDIA;BA;33871;2904407
BREJO;MA;7390;2102101
BREJÃO;PE;23477;2602407
BREJÕES;BA;33855;2904308
BREU BRANCO;PA;4448;1501782
BREVES;PA;4359;1501808
BRITÂNIA;GO;92754;5203807
BROCHIER;RS;85065;4302659
BRODOWSKI;SP;62570;3507803
BROTAS DE MACAÚBAS;BA;33898;2904506
BROTAS;SP;62596;3507902
BRUMADINHO;MG;41793;3109006
BRUMADO;BA;33910;2904605
BRUNÓPOLIS;SC;81787;4202875
BRUSQUE;SC;80551;4202909
BRÁS PIRES;MG;41734;3108701
BUENO BRANDÃO;MG;41815;3109105
BUENOS AIRES;PE;23531;2602704
BUENÓPOLIS;MG;41831;3109204
BUERAREMA;BA;33936;2904704
BUGRE;MG;41769;3109253
BUJARI;AC;1007;1200138
BUJARU;PA;4375;1501907
BURITAMA;SP;62634;3508108
BURITI ALEGRE;GO;92770;5203906
BURITI BRAVO;MA;7439;2102309
BURITI DE GOIÁS;GO;93106;5203939
BURITI DO TOCANTINS;TO;92045;1703800
BURITI DOS LOPES;PI;10391;2202000
BURITI DOS MONTES;PI;10103;2202026
BURITICUPU;MA;7340;2102325
BURITINÓPOLIS;GO;93262;5203962
BURITIRAMA;BA;30791;2904753
BURITIRANA;MA;7366;2102358
BURITIS;MG;41858;3109303
BURITIS;RO;779;1100452
BURITIZAL;SP;62650;3508207
BURITIZEIRO;MG;41874;3109402
BURITI;MA;7412;2102200
BURI;SP;62618;3508009
BUTIÁ;RS;85537;4302709
BUÍQUE;PE;23558;2602803
BÁLSAMO;SP;61956;3504800
CAAPIRANGA;AM;2992;1300839
CAAPORÃ;PB;19615;2503001
CAARAPÓ;MS;90557;5002407
CAATIBA;BA;33952;2904803
CABACEIRAS DO PARAGUAÇU;BA;33960;2904852
CABACEIRAS;PB;19631;2503100
CABECEIRA GRANDE;MG;41785;3109451
CABECEIRAS DO PIAUÍ;PI;10120;2202059
CABECEIRAS;GO;92797;5204003
CABEDELO;PB;19658;2503209
CABIXI;RO;450;1100031
CABO DE SANTO AGOSTINHO;PE;23574;2602902
CABO FRIO;RJ;58130;3300704
CABO VERDE;MG;41890;3109501
CABREÚVA;SP;62693;3508405
CABROBÓ;PE;23590;2603009
CABRÁLIA PAULISTA;SP;62677;3508306
CACAULÂNDIA;RO;620;1100601
CACEQUI;RS;85570;4302907
CACHOEIRA ALTA;GO;92819;5204102
CACHOEIRA DA PRATA;MG;41912;3109600
CACHOEIRA DE GOIÁS;GO;92835;5204201
CACHOEIRA DE MINAS;MG;41939;3109709
CACHOEIRA DE PAJEÚ;MG;40533;3102704
CACHOEIRA DO ARARI;PA;4391;1502004
CACHOEIRA DO PIRIÁ;PA;4766;1501956
CACHOEIRA DO SUL;RS;85596;4303004
CACHOEIRA DOS ÍNDIOS;PB;19674;2503308
CACHOEIRA DOURADA;GO;96733;5204250
CACHOEIRA DOURADA;MG;41955;3109808
CACHOEIRA GRANDE;MA;7226;2102374
CACHOEIRA PAULISTA;SP;62731;3508603
CACHOEIRAS DE MACACU;RJ;58157;3300803
CACHOEIRA;BA;33979;2904902
CACHOEIRINHA;PE;23612;2603108
CACHOEIRINHA;RS;85618;4303103
CACHOEIRINHA;TO;73067;1703826
CACHOEIRO DE ITAPEMIRIM;ES;56235;3201209
CACIMBA DE AREIA;PB;19690;2503407
CACIMBA DE DENTRO;PB;19712;2503506
CACIMBAS;PB;19364;2503555
CACIMBINHAS;AL;27235;2701209
CACIQUE DOBLE;RS;85634;4303202
CACOAL;RO;94;1100049
CACONDE;SP;62758;3508702
CACULÉ;BA;33995;2905008
CAEM;BA;34010;2401305
CAETANOS;BA;34029;2905156
CAETANÓPOLIS;MG;41971;3109907
CAETITÉ;BA;34037;2905206
CAETÉS;PE;23639;2603207
CAETÉ;MG;41998;3110004
CAFARNAUM;BA;34053;2905305
CAFEARA;PR;74659;4103404
CAFELÂNDIA;PR;79855;4103453
CAFELÂNDIA;SP;62774;3508801
CAFEZAL DO SUL;PR;74209;4103479
CAIABU;SP;62790;3508900
CAIANA;MG;42013;3110103
CAIAPÔNIA;GO;92878;5204409
CAIBATÉ;RS;85650;4303301
CAIBI;SC;80594;4203105
CAICÓ;RN;16390;2402006
CAIEIRAS;SP;62812;3509007
CAIRU;BA;34070;2905404
CAIUÁ;SP;62839;3509106
CAIÇARA DO NORTE;RN;16047;2401859
CAIÇARA DO RIO DO VENTO;RN;16373;2401909
CAIÇARA;PB;19739;2503605
CAIÇARA;RS;85677;4303400
CAJAMAR;SP;62855;3509205
CAJAPIÓ;MA;7455;2102408
CAJARI;MA;7471;2102507
CAJATI;SP;61484;3509254
CAJAZEIRAS DO PIAUÍ;PI;12343;2202075
CAJAZEIRAS;PB;19755;2503704
CAJAZEIRINHAS;PB;19380;2503753
CAJOBI;SP;62871;3509304
CAJUEIRO DA PRAIA;PI;12572;2202083
CAJUEIRO;AL;27251;2701308
CAJURI;MG;42030;3110202
CAJURU;SP;62898;3509403
CALDAS BRANDÃO;PB;19771;2503803
CALDAS NOVAS;GO;92894;5204508
CALDAS;MG;42056;3110301
CALDAZINHA;GO;93122;5204557
CALDEIRÃO GRANDE DO PIAUÍ;PI;10146;2202091
CALDEIRÃO GRANDE;BA;34096;2905503
CALIFÓRNIA;PR;74675;4103503
CALMON;SC;80667;4203154
CALUMBI;PE;23671;2603405
CALÇADO;PE;23655;2603306
CALÇOENE;AP;6033;1600204
CAMACAN;BA;34118;2905602
CAMACHO;MG;42072;3110400
CAMALAÚ;PB;19798;2503902
CAMAMU;BA;34150;2905800
CAMANDUCAIA;MG;42099;3110509
CAMAPUÃ;MS;90492;5002605
CAMAQUÃ;RS;85693;4303509
CAMARAGIBE;PE;26298;2603454
CAMARGO;RS;85960;4303558
CAMAÇARI;BA;34134;2905701
CAMBARÁ DO SUL;RS;85715;4303608
CAMBARÁ;PR;74691;4103602
CAMBIRA;PR;74730;4103800
CAMBORIÚ;SC;80616;4203204
CAMBUCI;RJ;58173;3300902
CAMBUQUIRA;MG;42137;3110707
CAMBUÍ;MG;42110;3110608
CAMBÉ;PR;74713;4103701
CAMETÁ;PA;4413;1502103
CAMOCIM DE SÃO FÉLIX;PE;23698;2603504
CAMOCIM;CE;13510;2302602
CAMPANHA;MG;42170;3110905
CAMPANÁRIO;MG;42153;3110806
CAMPESTRE DA SERRA;RS;86460;4303673
CAMPESTRE DE GOIÁS;GO;92916;5204607
CAMPESTRE DO MARANHÃO;MA;7382;2102556
CAMPESTRE;AL;27081;2701357
CAMPESTRE;MG;42196;3111002
CAMPINA DA LAGOA;PR;74756;4103909
CAMPINA DAS MISSÕES;RS;85731;4303707
CAMPINA DO MONTE ALEGRE;SP;61506;3509452
CAMPINA DO SIMÃO;PR;75183;4103958
CAMPINA GRANDE DO SUL;PR;74772;4104006
CAMPINA GRANDE;PB;19810;2504009
CAMPINA VERDE;MG;42218;3111101
CAMPINAS DO PIAUÍ;PI;10413;2202109
CAMPINAS DO SUL;RS;85758;4303806
CAMPINAS;SP;62910;3509502
CAMPINAÇU;GO;96873;5204656
CAMPINORTE;GO;92932;5204706
CAMPINÁPOLIS;MT;98655;5102603
CAMPO ALEGRE DE GOIÁS;GO;92959;5204805
CAMPO ALEGRE DE LOURDES;BA;34177;2905909
CAMPO ALEGRE DO FIDALGO;PI;12351;2202117
CAMPO ALEGRE;AL;27278;2701407
CAMPO ALEGRE;SC;80632;4203303
CAMPO AZUL;MG;41807;3111150
CAMPO BELO DO SUL;SC;80659;4203402
CAMPO BELO;MG;42234;3111200
CAMPO BOM;RS;85774;4303905
CAMPO BONITO;PR;74780;4104055
CAMPO DO BRITO;SE;31194;2801009
CAMPO DO MEIO;MG;42250;3111309
CAMPO DO TENENTE;PR;74799;4104105
CAMPO ERÊ;SC;80675;4203501
CAMPO FLORIDO;MG;42277;3111408
CAMPO FORMOSO;BA;34193;2906006
CAMPO GRANDE DO PIAUÍ;PI;10723;2202133
CAMPO GRANDE;AL;27294;2701506
CAMPO GRANDE;MS;90514;5002704
CAMPO GRANDE;RN;16250;2905107
CAMPO LARGO DO PIAUÍ;PI;10740;2202174
CAMPO LARGO;PR;74810;4104204
CAMPO LIMPO DE GOIÁS;GO;93580;5204854
CAMPO LIMPO PAULISTA;SP;62936;3509601
CAMPO MAGRO;PR;75205;4104253
CAMPO MAIOR;PI;10430;2202208
CAMPO MOURÃO;PR;74837;4104303
CAMPO NOVO DE RONDÔNIA;RO;671;1100700
CAMPO NOVO DO PARECIS;MT;90484;5102637
CAMPO NOVO;RS;85790;4304002
CAMPO REDONDO;RN;16411;2402105
CAMPO VERDE;MT;90506;5102678
CAMPOS ALTOS;MG;42293;3111507
CAMPOS BELOS;GO;92975;5204904
CAMPOS BORGES;RS;85200;4304101
CAMPOS DE JÚLIO;MT;90743;5102686
CAMPOS DO JORDÃO;SP;62952;3509700
CAMPOS DOS GOYTACAZES;RJ;58190;3301009
CAMPOS GERAIS;MG;42315;3111606
CAMPOS LINDOS;TO;73091;1703842
CAMPOS NOVOS PAULISTA;SP;62979;3509809
CAMPOS NOVOS;SC;80691;4203600
CAMPOS SALES;CE;13536;2302701
CAMPOS VERDES;GO;92061;5204953
CAMUTANGA;PE;23710;2603603
CANA VERDE;MG;42374;3111903
CANABRAVA DO NORTE;MT;90085;5102694
CANANÉIA;SP;62995;3509908
CANAPI;AL;27316;2701605
CANARANA;BA;34231;2906204
CANARANA;MT;91936;5102702
CANAS;SP;62103;3509957
CANAVIEIRAS;BA;34258;2906303
CANAVIEIRA;PI;10162;2202251
CANAÃ DOS CARAJÁS;PA;4707;1502152
CANAÃ;MG;42331;3111705
CANDEAL;BA;34274;2906402
CANDEIAS DO JAMARI;RO;477;1100809
CANDEIAS;BA;34290;2906501
CANDEIAS;MG;42390;3112000
CANDELÁRIA;RS;85812;4304200
CANDIBA;BA;34312;2906600
CANDIOTA;RS;86487;4304358
CANDÓI;PR;74225;4104428
CANELA;RS;85855;4304408
CANELINHA;SC;80713;4203709
CANGUARETAMA;RN;16438;2402204
CANGUÇU;RS;85871;4304507
CANHOBA;SE;31216;2801108
CANHOTINHO;PE;23736;2603702
CANINDÉ DE SÃO FRANCISCO;SE;31232;2801207
CANINDÉ;CE;13552;2302800
CANITAR;SP;61344;3510153
CANOAS;RS;85898;4304606
CANOINHAS;SC;80730;4203808
CANSANÇÃO;BA;34355;2906808
CANTAGALO;MG;41823;3112059
CANTAGALO;PR;84514;4104451
CANTAGALO;RJ;58211;3301108
CANTANHEDE;MA;7510;2102705
CANTO DO BURITI;PI;10456;2202307
CANTÁ;RR;3069;1400175
CANUDOS DO VALE;RS;89109;4304614
CANUDOS;BA;30856;2906824
CANUTAMA;AM;2194;1300904
CANÁPOLIS;BA;34215;2906105
CANÁPOLIS;MG;42358;3111804
CAPANEMA;PA;4430;1502202
CAPANEMA;PR;74870;4104501
CAPARAÓ;MG;42412;3112109
CAPELA DE SANTANA;RS;84891;4304689
CAPELA DO ALTO ALEGRE;BA;30813;2906857
CAPELA DO ALTO;SP;63070;3510302
CAPELA NOVA;MG;42439;3112208
CAPELA;AL;27332;2701704
CAPELA;SE;31259;2801306
CAPELINHA;MG;42455;3112307
CAPETINGA;MG;42471;3112406
CAPIM BRANCO;MG;42498;3112505
CAPIM GROSSO;BA;30830;2906873
CAPIM;PB;19062;2504033
CAPINZAL DO NORTE;MA;7404;2102754
CAPINZAL;SC;80756;4203907
CAPINÓPOLIS;MG;42510;3112604
CAPISTRANO;CE;13579;2302909
CAPITÃO ANDRADE;MG;40061;3112653
CAPITÃO DE CAMPOS;PI;10472;2202406
CAPITÃO ENÉAS;MG;42536;3112703
CAPITÃO GERVÁSIO OLIVEIRA;PI;10707;2202455
CAPITÃO LEÔNIDAS MARQUES;PR;74896;4104600
CAPITÃO POÇO;PA;4456;1502301
CAPITÃO;RS;86509;4304697
CAPITÓLIO;MG;42552;3112802
CAPIVARI DE BAIXO;SC;81027;4203956
CAPIVARI DO SUL;RS;88200;4304671
CAPIVARI;SP;63096;3510401
CAPIXABA;AC;1015;1200179
CAPOEIRAS;PE;23752;2603801
CAPUTIRA;MG;42579;3112901
CAPÃO ALTO;SC;81248;4203253
CAPÃO BONITO DO SUL;RS;89125;4304622
CAPÃO BONITO;SP;63053;3510203
CAPÃO DA CANOA;RS;89150;4304630
CAPÃO DO CIPÓ;RS;89141;4304655
CAPÃO DO LEÃO;RS;89737;4304663
CARACARAÍ;RR;3034;1400209
CARACOL;MS;90530;5002803
CARACOL;PI;10499;2202505
CARAGUATATUBA;SP;63118;3510500
CARAMBEÍ;PR;75221;4104659
CARANAÍBA;MG;42617;3113107
CARANDAÍ;MG;42633;3113206
CARANGOLA;MG;42650;3113305
CARAPEBUS;RJ;58300;3300936
CARAPICUÍBA;SP;63134;3510609
CARATINGA;MG;42676;3113404
CARAUARI;AM;2216;1301001
CARAVELAS;BA;34371;2906907
CARAZINHO;RS;85910;4304705
CARAÁ;RS;88340;4304713
CARAÍBAS;BA;34363;2906899
CARAÍ;MG;42595;3113008
CARAÚBAS DO PIAUÍ;PI;12670;2202539
CARAÚBAS;PB;19240;2504074
CARAÚBAS;RN;16454;2402303
CARBONITA;MG;42692;3113503
CARDEAL DA SILVA;BA;34398;2907004
CARDOSO MOREIRA;RJ;58068;3301157
CARDOSO;SP;63150;3510708
CAREAÇU;MG;42714;3113602
CAREIRO DA VÁRZEA;AM;2046;1301159
CAREIRO;AM;2232;1301100
CARIACICA;ES;56251;3201308
CARIDADE DO PIAUÍ;PI;12165;2202554
CARIDADE;CE;13595;2303006
CARINHANHA;BA;34410;2907103
CARIRA;SE;31275;2801405
CARIRI DO TOCANTINS;TO;73300;1703867
CARIRIAÇU;CE;13633;2303204
CARIRÉ;CE;13617;2303105
CARIÚS;CE;13650;2303303
CARLINDA;MT;90760;5102793
CARLOS BARBOSA;RS;85936;4304804
CARLOS CHAGAS;MG;42730;3113701
CARLOS GOMES;RS;86525;4304853
CARLÓPOLIS;PR;74918;4104709
CARMO DA CACHOEIRA;MG;42773;3113909
CARMO DA MATA;MG;42790;3114006
CARMO DE MINAS;MG;42811;3114105
CARMO DO CAJURU;MG;42838;3114204
CARMO DO PARANAÍBA;MG;42854;3114303
CARMO DO RIO CLARO;MG;42870;3114402
CARMO DO RIO VERDE;GO;92991;5205000
CARMOLÂNDIA;TO;73326;1703883
CARMO;RJ;58238;3301207
CARMÉSIA;MG;42757;3113800
CARMÓPOLIS DE MINAS;MG;42897;3114501
CARMÓPOLIS;SE;31291;2801504
CARNAUBAIS;RN;16497;2402501
CARNAUBAL;CE;13676;2303402
CARNAUBEIRA DA PENHA;PE;23167;2603926
CARNAÍBA;PE;23779;2603900
CARNAÚBA DOS DANTAS;RN;16470;2402402
CARNEIRINHO;MG;40088;3114550
CARNEIROS;AL;27359;2701803
CAROEBE;RR;3000;1400233
CAROLINA;MA;7536;2102804
CARPINA;PE;23795;2604007
CARRANCAS;MG;42919;3114600
CARRAPATEIRA;PB;19836;2504108
CARRASCO BONITO;TO;73423;1703891
CARUARU;PE;23817;2604106
CARUTAPERA;MA;7552;2102903
CARVALHOS;MG;42951;3114808
CARVALHÓPOLIS;MG;42935;3114709
CASA BRANCA;SP;63177;3510807
CASA GRANDE;MG;42978;3114907
CASA NOVA;BA;34436;2907202
CASCALHO RICO;MG;42994;3115003
CASCAVEL;CE;13692;2303501
CASCAVEL;PR;74934;4104808
CASCA;RS;85952;4304903
CASEARA;TO;92088;1703909
CASEIROS;RS;85880;4304952
CASIMIRO DE ABREU;RJ;58254;3301306
CASINHAS;PE;23221;2604155
CASSERENGUE;PB;19607;2504157
CASSILÂNDIA;MS;90573;5002902
CASTANHAL;PA;4472;1502400
CASTANHEIRAS;RO;531;1100908
CASTANHEIRA;MT;90549;5102850
CASTELO DO PIAUÍ;PI;10510;2202604
CASTELO;ES;56278;3201407
CASTELÂNDIA;GO;92967;5205059
CASTILHO;SP;63215;3511003
CASTRO ALVES;BA;34452;2907301
CASTRO;PR;74950;4104907
CATAGUASES;MG;43052;3115300
CATALÃO;GO;93017;5205109
CATANDUVAS;PR;74977;4105003
CATANDUVAS;SC;80772;4204004
CATANDUVA;SP;63231;3511102
CATARINA;CE;13714;2303600
CATAS ALTAS DA NORUEGA;MG;43079;3115409
CATAS ALTAS;MG;41840;3115359
CATENDE;PE;23833;2604205
CATIGUÁ;SP;63258;3511201
CATINGUEIRA;PB;19852;2504207
CATOLÂNDIA;BA;34479;2907400
CATOLÉ DO ROCHA;PB;19879;2504306
CATUJI;MG;40100;3115458
CATUNDA;CE;13447;2303659
CATURAMA;BA;34509;2907558
CATURAÍ;GO;93033;5205208
CATURITÉ;PB;19801;2504355
CATUTI;MG;41866;3115474
CATU;BA;34495;2907509
CATUÍPE;RS;85979;4305009
CAUCAIA;CE;13730;2303709
CAVALCANTE;GO;93050;5205307
CAXAMBU DO SUL;SC;80799;4204103
CAXAMBU;MG;43095;3115508
CAXIAS DO SUL;RS;85995;4305108
CAXIAS;MA;7579;2103000
CAXINGÓ;PI;12688;2202653
CAÇADOR;SC;80578;4203006
CAÇAPAVA DO SUL;RS;85553;4302808
CAÇAPAVA;SP;62715;3508504
CAÇU;GO;92851;5204300
CEARÁ-MIRIM;RN;16519;2402600
CEDRAL;MA;7595;2103109
CEDRAL;SP;63274;3511300
CEDRO DE SÃO JOÃO;SE;31313;2801603
CEDRO DO ABAETÉ;MG;43117;3115607
CEDRO;CE;13757;2303808
CEDRO;PE;23850;2604304
CELSO RAMOS;SC;80268;4204152
CENTENÁRIO DO SUL;PR;74993;4105102
CENTENÁRIO;RS;86541;4305116
CENTENÁRIO;TO;73210;1704105
CENTRAL DE MINAS;MG;43133;3115706
CENTRAL DO MARANHÃO;MA;7420;2103125
CENTRALINA;MG;43150;3115805
CENTRAL;BA;34517;2907608
CENTRO DO GUILHERME;MA;7447;2103158
CENTRO NOVO DO MARANHÃO;MA;7463;2103174
CEREJEIRAS;RO;272;1100056
CERES;GO;93076;5205406
CERQUEIRA CÉSAR;SP;63290;3511409
CERQUILHO;SP;63312;3511508
CERRITO;RS;88641;4305124
CERRO AZUL;PR;75019;4105201
CERRO BRANCO;RS;86088;4305132
CERRO CORÁ;RN;16535;2402709
CERRO GRANDE DO SUL;RS;85944;4305173
CERRO GRANDE;RS;85227;4305157
CERRO LARGO;RS;86010;4305207
CERRO NEGRO;SC;80381;4204178
CESÁRIO LANGE;SP;63339;3511607
CEZARINA;GO;92100;5205455
CHALÉ;MG;43192;3116001
CHAPADA DA NATIVIDADE;TO;73482;1705102
CHAPADA DE AREIA;TO;73474;1704600
CHAPADA DO NORTE;MG;43214;3116100
CHAPADA DOS GUIMARÃES;MT;90590;5103007
CHAPADA GAÚCHA;MG;41882;3116159
CHAPADA;RS;86037;4305306
CHAPADINHA;MA;7617;2103208
CHAPADÃO DO CÉU;GO;92924;5205471
CHAPADÃO DO LAGEADO;SC;81701;4204194
CHAPADÃO DO SUL;MS;91782;5002951
CHAPECÓ;SC;80810;4204202
CHARQUEADAS;RS;86932;4305355
CHARQUEADA;SP;63355;3511706
CHARRUA;RS;86568;4305371
CHAVAL;CE;13773;2303907
CHAVANTES;SP;63371;3557204
CHAVES;PA;4499;1502509
CHIADOR;MG;43230;3116209
CHIAPETTA;RS;86053;4305405
CHOPINZINHO;PR;75035;4105409
CHOROZINHO;CE;13161;2303956
CHORROCHÓ;BA;34533;2907707
CHORÓ;CE;13463;2303931
CHUPINGUAIA;RO;809;1100924
CHUVISCA;RS;88269;4305447
CHUÍ;RS;88846;4305439
CHÁCARA;MG;43176;3115904
CHÃ DE ALEGRIA;PE;23876;2604403
CHÃ GRANDE;PE;23892;2604502
CHÃ PRETA;AL;27375;2701902
CIANORTE;PR;75051;4105508
CIDADE GAÚCHA;PR;75078;4105607
CIDADE OCIDENTAL;GO;93025;5205497
CIDELÂNDIA;MA;7480;2103257
CIDREIRA;RS;85804;4305454
CIPOTÂNEA;MG;43257;3116308
CIPÓ;BA;34576;2907905
CIRÍACO;RS;86070;4305504
CLARAVAL;MG;43273;3116407
CLARO DOS POÇÕES;MG;43290;3116506
CLEMENTINA;SP;63398;3511904
CLEVELÂNDIA;PR;75094;4105706
CLÁUDIA;MT;90522;5103056
CLÁUDIO;MG;43311;3116605
COARACI;BA;34592;2908002
COARI;AM;2259;1301209
COCAL DE TELHA;PI;12360;2202711
COCAL DO SUL;SC;80306;4204251
COCAL DOS ALVES;PI;12696;2202729
COCALINHO;MT;98671;5103106
COCALZINHO DE GOIÁS;GO;92886;5205513
COCAL;PI;10537;2202703
COCOS;BA;34614;2908101
CODAJÁS;AM;2275;1301308
CODÓ;MA;7633;2103307
COELHO NETO;MA;7650;2103406
COIMBRA;MG;43338;3116704
COITÉ DO NÓIA;AL;27391;2702009
COIVARAS;PI;10189;2202737
COLARES;PA;4510;1502608
COLATINA;ES;56294;3201506
COLINAS DO SUL;GO;92126;5205521
COLINAS DO TOCANTINS;TO;93114;1705508
COLINAS;MA;7676;2103505
COLINAS;RS;86584;4305587
COLINA;SP;63410;3512001
COLMÉIA;TO;95290;1716703
COLNIZA;MT;89788;5103254
COLOMBO;PR;75132;4105805
COLORADO DO OESTE;RO;230;1100064
COLORADO;PR;75159;4105904
COLORADO;RS;86096;4305603
COLUNA;MG;43354;3116803
COLÍDER;MT;89796;5103205
COLÔMBIA;SP;63436;3512100
COLÔNIA DO GURGUÉIA;PI;10200;2202752
COLÔNIA DO PIAUÍ;PI;10227;2202778
COLÔNIA LEOPOLDINA;AL;27413;2702108
COMBINADO;TO;92142;1705557
COMENDADOR GOMES;MG;43370;3116902
COMENDADOR LEVY GASPARIAN;RJ;58165;3300951
COMERCINHO;MG;43397;3117009
COMODORO;MT;99015;5103304
CONCEIÇÃO DA APARECIDA;MG;43419;3117108
CONCEIÇÃO DA BARRA DE MINAS;MG;43036;3115201
CONCEIÇÃO DA BARRA;ES;56316;3201605
CONCEIÇÃO DA FEIRA;BA;34630;2908200
CONCEIÇÃO DAS ALAGOAS;MG;43451;3117306
CONCEIÇÃO DAS PEDRAS;MG;43435;3117207
CONCEIÇÃO DE IPANEMA;MG;43478;3117405
CONCEIÇÃO DE MACABU;RJ;58270;3301405
CONCEIÇÃO DO ALMEIDA;BA;34657;2908309
CONCEIÇÃO DO ARAGUAIA;PA;4537;1502707
CONCEIÇÃO DO CANINDÉ;PI;10553;2202802
CONCEIÇÃO DO CASTELO;ES;56332;3201704
CONCEIÇÃO DO COITÉ;BA;34673;2908408
CONCEIÇÃO DO JACUÍPE;BA;34690;2908507
CONCEIÇÃO DO LAGO-AÇU;MA;7501;2103554
CONCEIÇÃO DO MATO DENTRO;MG;43494;3117504
CONCEIÇÃO DO PARÁ;MG;43516;3117603
CONCEIÇÃO DO RIO VERDE;MG;43532;3117702
CONCEIÇÃO DO TOCANTINS;TO;93130;1705607
CONCEIÇÃO DOS OUROS;MG;43559;3117801
CONCEIÇÃO;PB;19895;2504405
CONCHAL;SP;63452;3512209
CONCHAS;SP;63479;3512308
CONCÓRDIA DO PARÁ;PA;5819;1502756
CONCÓRDIA;SC;80837;4204301
CONDADO;PB;19917;2504504
CONDADO;PE;23914;2604601
CONDE;BA;34711;2908606
CONDE;PB;19933;2504603
CONDEÚBA;BA;34738;2908705
CONDOR;RS;86118;4305702
CONFINS;MG;41920;3117876
CONFRESA;MT;90280;5103353
CONGONHAL;MG;43575;3117900
CONGONHAS DO NORTE;MG;43613;3118106
CONGONHAS;MG;43591;3118007
CONGONHINHAS;PR;75175;4106001
CONGO;PB;19950;2504702
CONQUISTA D'OESTE;MT;91006;5103361
CONQUISTA;MG;43630;3118205
CONSELHEIRO LAFAIETE;MG;43656;3118304
CONSELHEIRO MAIRINCK;PR;75191;4106100
CONSELHEIRO PENA;MG;43672;3118403
CONSOLAÇÃO;MG;43699;3118502
CONSTANTINA;RS;86134;4305801
CONTAGEM;MG;43710;3118601
CONTENDAS DO SINCORÁ;BA;34754;2908804
CONTENDA;PR;75213;4106209
COQUEIRAL;MG;43737;3118700
COQUEIRO BAIXO;RS;89168;4305835
COQUEIRO SECO;AL;27430;2702207
COQUEIROS DO SUL;RS;86606;4305850
CORAÇÃO DE JESUS;MG;43753;3118809
CORAÇÃO DE MARIA;BA;34770;2908903
CORBÉLIA;PR;75230;4106308
CORDEIROS;BA;34797;2909000
CORDEIRO;RJ;58297;3301504
CORDEIRÓPOLIS;SP;63495;3512407
CORDILHEIRA ALTA;SC;81043;4204350
CORDISBURGO;MG;43770;3118908
CORDISLÂNDIA;MG;43796;3119005
COREAÚ;CE;13811;2304004
COREMAS;PB;19976;2504801
CORGUINHO;MS;90611;5003108
CORIBE;BA;34819;2909109
CORINTO;MG;43818;3119104
CORNÉLIO PROCÓPIO;PR;75256;4106407
COROACI;MG;43834;3119203
COROADOS;SP;63517;3512506
COROATÁ;MA;7692;2103604
COROMANDEL;MG;43850;3119302
CORONEL BARROS;RS;86622;4305871
CORONEL BICACO;RS;86150;4305900
CORONEL DOMINGOS SOARES;PR;75248;4106456
CORONEL EZEQUIEL;RN;16551;2402808
CORONEL FABRICIANO;MG;43877;3119401
CORONEL FREITAS;SC;80853;4204400
CORONEL JOSÉ DIAS;PI;10243;2202851
CORONEL JOÃO PESSOA;RN;16578;2402907
CORONEL JOÃO SÁ;BA;34835;2909208
CORONEL MACEDO;SP;63533;3512605
CORONEL MARTINS;SC;81108;4204459
CORONEL MURTA;MG;43893;3119500
